sample	unit	fq1	fq2
AJBK	lane1	../data/reads/AJBK.1.fq.gz	../data/reads/AJBK.2.fq.gz
ROLB	lane2	../data/reads/ROLB.1.fq.gz	../data/reads/ROLB.2.fq.gz
